odds_api_name,barttorvik_name,normalized_key
Abilene Christian,abilene christian,abilene christian
Air Force,air force,air force
Akron,akron,akron
Alabama,alabama,alabama
Alabama A&M,alabama a&m,alabama a&m
Alabama State,alabama st.,alabama st
Albany (Ny),albany,albany
Alcorn State,alcorn st.,alcorn st
American University,american,american
Appalachian State,appalachian st.,appalachian st
Arizona,arizona,arizona
Arizona State,arizona st.,arizona st
Arkansas,arkansas,arkansas
Arkansas-Pine Bluff,arkansas pine bluff,arkansas pine bluff
Arkansas State,arkansas st.,arkansas st
Army West Point,army,army
Auburn,auburn,auburn
Austin Peay,austin peay,austin peay
Ball State,ball st.,ball st
Baylor,baylor,baylor
Bellarmine,bellarmine,bellarmine
Belmont,belmont,belmont
Bethune-Cookman,bethune cookman,bethune cookman
Binghamton,binghamton,binghamton
Boise State,boise st.,boise st
Boston College,boston college,boston college
Boston University,boston university,boston u
Bowling Green,bowling green,bowling green
Bradley,bradley,bradley
Brown,brown,brown
Bryant,bryant,bryant
Bucknell,bucknell,bucknell
Buffalo,buffalo,buffalo
Butler,butler,butler
BYU,byu,byu
California Baptist,cal baptist,cal baptist
Cal Poly,cal poly,cal poly
Cal State Bakersfield,cal st. bakersfield,cal st bakersfield
Cal State Fullerton,cal st. fullerton,cal st fullerton
Cal State Northridge,cal st. northridge,cal st northridge
California,california,california
Campbell,campbell,campbell
Canisius,canisius,canisius
Central Arkansas,central arkansas,central arkansas
Central Connecticut State,central connecticut,central connecticut
Central Michigan,central michigan,central michigan
College of Charleston,charleston,charleston
Charleston Southern,charleston southern,charleston southern
Charlotte,charlotte,charlotte
Chattanooga,chattanooga,chattanooga
Chicago State,chicago st.,chicago st
Cincinnati,cincinnati,cincinnati
The Citadel,the citadel,citadel
Clemson,clemson,clemson
Cleveland State,cleveland st.,cleveland st
Coastal Carolina,coastal carolina,coastal carolina
Colgate,colgate,colgate
Colorado,colorado,colorado
Colorado State,colorado st.,colorado st
Columbia,columbia,columbia
UConn,connecticut,connecticut
Coppin State,coppin st.,coppin st
Cornell,cornell,cornell
Creighton,creighton,creighton
Dartmouth,dartmouth,dartmouth
Davidson,davidson,davidson
Dayton,dayton,dayton
Delaware,delaware,delaware
Delaware State,delaware st.,delaware st
Denver,denver,denver
DePaul,depaul,depaul
Detroit Mercy,detroit mercy,detroit mercy
Drake,drake,drake
Drexel,drexel,drexel
Duke,duke,duke
Duquesne,duquesne,duquesne
East Carolina,east carolina,east carolina
East Tennessee State,east tennessee st.,east tennessee st
Texas A&M-Commerce,east texas a&m,east texas a&m
Eastern Illinois,eastern illinois,eastern illinois
Eastern Kentucky,eastern kentucky,eastern kentucky
Eastern Michigan,eastern michigan,eastern michigan
Eastern Washington,eastern washington,eastern washington
Elon,elon,elon
Evansville,evansville,evansville
Fairfield,fairfield,fairfield
Fairleigh Dickinson,fairleigh dickinson,fairleigh dickinson
FIU,fiu,fiu
Florida,florida,florida
Florida A&M,florida a&m,florida a&m
Florida Atlantic,florida atlantic,florida atlantic
Florida Gulf Coast,florida gulf coast,florida gulf coast
Florida State,florida st.,florida st
Fordham,fordham,fordham
Fresno State,fresno st.,fresno st
Furman,furman,furman
Gardner-Webb,gardner webb,gardner webb
George Mason,george mason,george mason
George Washington,george washington,george washington
Georgetown,georgetown,georgetown
Georgia,georgia,georgia
Georgia Southern,georgia southern,georgia southern
Georgia State,georgia st.,georgia st
Georgia Tech,georgia tech,georgia tech
Gonzaga,gonzaga,gonzaga
Grambling State,grambling st.,grambling st
Grand Canyon,grand canyon,grand canyon
Wisconsin-Green Bay,green bay,green bay
Hampton,hampton,hampton
Hartford,,hartford
Harvard,harvard,harvard
Hawai'i,hawaii,hawaii
High Point,high point,high point
Hofstra,hofstra,hofstra
Holy Cross,holy cross,holy cross
Houston,houston,houston
Houston Christian,houston christian,houston christian
Howard,howard,howard
Idaho,idaho,idaho
Idaho State,idaho st.,idaho st
Illinois,illinois,illinois
Illinois-Chicago,illinois chicago,illinois chicago
Illinois State,illinois st.,illinois st
Incarnate Word,incarnate word,incarnate word
Indiana,indiana,indiana
Indiana State,indiana st.,indiana st
Iona,iona,iona
Iowa,iowa,iowa
Iowa State,iowa st.,iowa st
IU Indianapolis,iu indy,iu indy
Jackson State,jackson st.,jackson st
Jacksonville,jacksonville,jacksonville
Jacksonville State,jacksonville st.,jacksonville st
James Madison,james madison,james madison
Kansas,kansas,kansas
UMKC / Kansas City,umkc,kansas city
Kansas State,kansas st.,kansas st
Kennesaw State,kennesaw st.,kennesaw st
Kent State,kent st.,kent st
Kentucky,kentucky,kentucky
La Salle,la salle,la salle
Lafayette,lafayette,lafayette
Lamar University,lamar,lamar
Le Moyne,le moyne,le moyne
Lehigh,lehigh,lehigh
Liberty,liberty,liberty
Lindenwood,lindenwood,lindenwood
Lipscomb,lipscomb,lipscomb
Arkansas-Little Rock,little rock,little rock
LIU,liu,liu
Long Beach State,long beach st.,long beach st
Longwood,longwood,longwood
Louisiana-Lafayette,louisiana,louisiana
Louisiana-Monroe,louisiana monroe,louisiana monroe
Louisiana Tech,louisiana tech,louisiana tech
Louisville,louisville,louisville
Loyola Chicago,loyola chicago,loyola chicago
Loyola Marymount,loyola marymount,loyola marymount
Loyola Maryland,loyola md,loyola md
LSU,lsu,lsu
Maine,maine,maine
Manhattan,manhattan,manhattan
Marist,marist,marist
Marquette,marquette,marquette
Marshall,marshall,marshall
Maryland,maryland,maryland
Maryland-Eastern Shore,maryland eastern shore,maryland eastern shore
Massachusetts,massachusetts,massachusetts
McNeese State,mcneese st.,mcneese st
Memphis,memphis,memphis
Mercer,mercer,mercer
Mercyhurst,mercyhurst,mercyhurst
Merrimack,merrimack,merrimack
Miami (FL),miami fl,miami fl
Miami (OH),miami oh,miami oh
Michigan,michigan,michigan
Michigan State,michigan st.,michigan st
Middle Tennessee State,middle tennessee,middle tennessee
Wisconsin-Milwaukee,milwaukee,milwaukee
Minnesota,minnesota,minnesota
Mississippi,mississippi,mississippi
Mississippi State,mississippi st.,mississippi st
Mississippi Valley State,mississippi valley st.,mississippi valley st
Missouri,missouri,missouri
Missouri State,missouri st.,missouri st
Monmouth,monmouth,monmouth
Montana,montana,montana
Montana State,montana st.,montana st
Morehead State,morehead st.,morehead st
Morgan State,morgan st.,morgan st
Mount St. Mary's,mount st. mary's,mt. st. mary's
Murray State,murray st.,murray st
Navy,navy,navy
NC State,n.c. state,nc state
Nebraska,nebraska,nebraska
Nebraska-Omaha,nebraska omaha,nebraska omaha
Nevada,nevada,nevada
New Hampshire,new hampshire,new hampshire
New Haven,new haven,new haven
New Mexico,new mexico,new mexico
New Mexico State,new mexico st.,new mexico st
New Orleans,new orleans,new orleans
Niagara,niagara,niagara
Nicholls State,nicholls st.,nicholls
NJIT,njit,njit
Norfolk State,norfolk st.,norfolk st
North Alabama,north alabama,north alabama
North Carolina,north carolina,north carolina
North Carolina A&T,north carolina a&t,north carolina a&t
North Carolina Central,north carolina central,north carolina central
North Dakota,north dakota,north dakota
North Dakota State,north dakota st.,north dakota st
North Florida,north florida,north florida
North Texas,north texas,north texas
Northeastern,northeastern,northeastern
Northern Arizona,northern arizona,northern arizona
Northern Colorado,northern colorado,northern colorado
Northern Illinois,northern illinois,northern illinois
Northern Iowa,northern iowa,northern iowa
Northern Kentucky,northern kentucky,northern kentucky
Northwestern,northwestern,northwestern
Northwestern State,northwestern st.,northwestern st
Notre Dame,notre dame,notre dame
Oakland,oakland,oakland
Ohio University,ohio,ohio
Ohio State,ohio st.,ohio st
Oklahoma,oklahoma,oklahoma
Oklahoma State,oklahoma st.,oklahoma st
